age,job,marital,education,has_credit,avg_year_balance,contact_type,day,month,num_compaign_contact,num_prev_contact,prev_compaign_outcome,target
36,4,1,2,0,101,3,5,8,1,0,2,0
55,1,1,1,0,383,3,5,8,1,0,2,0
60,5,1,2,0,81,3,5,8,1,0,2,0
39,9,1,1,0,0,3,5,8,1,0,2,0
46,4,1,2,0,229,3,5,8,1,0,2,0
44,1,1,1,0,-674,3,5,8,1,0,2,0
53,1,1,0,0,90,3,5,8,1,0,2,0
52,1,1,0,0,128,3,5,8,1,0,2,0
59,1,1,0,0,179,3,5,8,3,0,2,0
27,9,2,2,0,0,3,5,8,1,0,2,0
44,1,1,1,0,54,3,5,8,1,0,2,0
47,9,1,2,0,151,3,5,8,1,0,2,0
34,0,1,1,0,61,3,5,8,1,0,2,0
59,5,2,1,0,30,3,5,8,1,0,2,0
45,4,1,2,0,523,3,5,8,2,0,2,0
29,7,0,1,0,31,3,5,8,1,0,2,0
46,9,0,1,0,79,3,5,8,1,0,2,0
56,6,1,0,0,-34,3,5,8,2,0,2,0
36,1,1,0,0,448,3,5,8,1,0,2,0
59,5,0,0,0,81,3,5,8,1,0,2,0
44,1,1,1,0,144,3,5,8,2,0,2,0
41,0,1,1,0,351,3,5,8,1,0,2,0
33,4,2,2,0,-67,3,5,8,1,0,2,0
59,4,0,2,0,262,3,5,8,1,0,2,0
57,9,1,0,0,0,3,5,8,1,0,2,0
56,9,0,3,0,56,3,5,8,1,0,2,0
51,1,1,1,0,26,3,5,8,1,0,2,0
34,0,1,3,0,3,3,5,8,3,0,2,0
43,7,1,1,0,41,3,5,8,2,0,2,0
52,9,1,2,0,7,3,5,8,1,0,2,0
33,9,2,1,0,105,3,5,8,2,0,2,0
29,0,2,1,0,818,3,5,8,1,0,2,0
34,7,1,1,0,-16,3,5,8,1,0,2,0
31,1,1,1,0,0,3,5,8,1,0,2,0
55,7,1,1,0,2476,3,5,8,1,0,2,1
55,4,1,3,0,1185,3,5,8,1,0,2,0
32,0,2,1,0,217,3,5,8,1,0,2,0
38,9,2,1,0,1685,3,5,8,1,0,2,0
55,0,2,1,0,802,3,5,8,2,0,2,0
28,10,2,2,0,0,3,5,8,2,0,2,0
23,1,1,1,0,94,3,5,8,1,0,2,0
32,9,2,1,0,0,3,5,8,1,0,2,0
43,7,2,3,0,0,3,5,8,1,0,2,0
32,1,1,1,0,517,3,5,8,1,0,2,0
46,1,1,1,0,265,3,5,8,1,0,2,0
53,3,0,0,0,947,3,5,8,1,0,2,0
34,6,2,1,0,3,3,5,8,1,0,2,0
57,10,1,2,0,42,3,5,8,1,0,2,0
37,1,1,1,0,37,3,5,8,1,0,2,0
59,1,1,1,0,57,3,5,8,1,0,2,0
33,7,1,1,0,22,3,5,8,1,0,2,0
56,1,0,0,0,8,3,5,8,2,0,2,0
48,10,1,1,0,293,3,5,8,1,0,2,0
43,7,1,0,0,3,3,5,8,2,0,2,0
54,1,1,0,0,348,3,5,8,2,0,2,0
51,1,1,3,0,-19,3,5,8,2,0,2,0
26,8,2,1,0,0,3,5,8,2,0,2,0
40,4,1,2,0,-4,3,5,8,1,0,2,0
39,4,1,1,0,18,3,5,8,1,0,2,0
50,9,1,0,0,139,3,5,8,2,0,2,0
41,7,1,1,0,0,3,5,8,2,0,2,0
51,1,1,3,0,1883,3,5,8,1,0,2,0
60,5,0,1,0,216,3,5,8,1,0,2,0
52,1,1,1,0,782,3,5,8,3,0,2,0
48,1,1,1,0,904,3,5,8,2,0,2,0
48,7,1,3,0,1705,3,5,8,1,0,2,0
39,9,2,2,0,47,3,5,8,1,0,2,0
47,7,2,1,0,176,3,5,8,2,0,2,0
40,1,1,1,0,1225,3,5,8,5,0,2,0
45,9,1,1,0,86,3,5,8,1,0,2,0
26,0,2,1,0,82,3,5,8,1,0,2,0
52,4,1,2,0,271,3,5,8,1,0,2,0
54,9,1,1,0,1378,3,5,8,1,0,2,0
54,0,1,2,0,184,3,5,8,2,0,2,1
50,1,1,0,0,0,3,5,8,3,0,2,0
35,1,1,1,0,0,3,5,8,1,0,2,0
44,7,1,1,0,1357,3,5,8,1,0,2,0
53,2,1,3,0,19,3,5,8,1,0,2,0
35,5,2,0,0,434,3,5,8,1,0,2,0
60,0,0,1,0,92,3,5,8,1,0,2,0
53,0,0,1,0,1151,3,5,8,1,0,2,0
48,10,1,1,0,41,3,5,8,2,0,2,0
34,9,1,1,0,51,3,5,8,2,0,2,0
54,7,1,1,0,214,3,5,8,2,0,2,0
51,4,1,1,0,1161,3,5,8,1,0,2,0
31,7,1,2,0,37,3,5,8,1,0,2,0
35,9,0,1,0,787,3,5,8,2,0,2,0
35,7,1,1,0,59,3,5,8,1,0,2,0
38,9,1,1,0,253,3,5,8,1,0,2,0
36,0,1,2,0,211,3,5,8,2,0,2,0
58,5,1,0,0,235,3,5,8,1,0,2,0
40,7,0,3,0,4384,3,5,8,1,0,2,0
54,4,1,1,0,4080,3,5,8,1,0,2,0
34,1,2,1,0,53,3,5,8,1,0,2,0
31,4,2,2,0,0,3,5,8,1,0,2,0
51,5,1,1,0,2127,3,5,8,1,0,2,0
33,4,1,2,0,377,3,5,8,1,0,2,0
55,4,1,2,0,73,3,5,8,2,0,2,0
42,0,1,1,0,445,3,5,8,1,0,2,0
34,1,1,1,0,243,3,5,8,1,0,2,0
33,1,2,1,0,307,3,5,8,2,0,2,0
38,7,1,1,0,155,3,5,8,1,0,2,0
50,9,0,2,0,173,3,5,8,1,0,2,0
43,4,1,2,0,400,3,5,8,1,0,2,0
61,1,0,0,0,1428,3,5,8,2,0,2,0
47,0,1,1,0,219,3,5,8,1,0,2,0
48,6,1,2,0,7,3,5,8,1,0,2,0
44,1,1,1,0,575,3,5,8,1,0,2,0
35,8,2,3,0,298,3,5,8,2,0,2,0
35,7,1,1,0,0,3,5,8,1,0,2,0
50,7,1,1,0,5699,3,5,8,2,0,2,0
41,4,1,2,0,176,3,5,8,1,0,2,0
41,4,1,2,0,517,3,5,8,1,0,2,0
39,7,2,3,0,257,3,5,8,1,0,2,0
42,5,1,1,0,56,3,5,8,1,0,2,0
38,1,1,1,0,-390,3,5,8,1,0,2,0
53,5,1,1,0,330,3,5,8,2,0,2,0
59,3,0,0,0,195,3,5,8,2,0,2,0
36,7,1,1,0,301,3,5,8,1,0,2,0
54,1,1,0,0,-41,3,5,8,1,0,2,0
40,9,1,2,0,483,3,5,8,1,0,2,0
47,11,1,3,0,28,3,5,8,2,0,2,0
53,10,1,3,0,13,3,5,8,3,0,2,0
46,3,1,0,0,965,3,5,8,1,0,2,0
39,4,1,2,0,378,3,5,8,2,0,2,0
40,10,1,1,0,219,3,5,8,1,0,2,0
28,1,1,0,0,324,3,5,8,1,0,2,0
35,2,0,1,0,-69,3,5,8,1,0,2,0
55,5,1,1,0,0,3,5,8,1,0,2,0
43,9,0,3,0,205,3,5,8,1,0,2,0
48,1,1,0,0,278,3,5,8,2,0,2,0
58,4,1,3,0,1065,3,5,8,3,0,2,0
33,4,2,2,0,34,3,5,8,1,0,2,0
36,1,1,3,0,1033,3,5,8,2,0,2,0
53,7,0,1,0,1467,3,5,8,1,0,2,0
47,1,1,0,0,-12,3,5,8,1,0,2,0
31,7,1,1,0,388,3,5,8,2,0,2,0
57,2,1,1,0,294,3,5,8,2,0,2,0
53,1,1,3,0,1827,3,5,8,1,0,2,0
55,1,1,0,0,627,3,5,8,1,0,2,0
45,1,1,0,0,25,3,5,8,1,0,2,0
53,0,0,1,0,315,3,5,8,2,0,2,0
37,1,1,0,0,0,3,5,8,1,0,2,0
44,0,0,1,0,66,3,5,8,1,0,2,0
49,1,0,0,0,-9,3,5,8,1,0,2,0
46,9,1,1,0,349,3,5,8,1,0,2,0
43,2,1,3,0,100,3,5,8,1,0,2,0
38,0,1,1,0,0,3,5,8,1,0,2,0
43,9,1,1,0,434,3,5,8,1,0,2,0
49,4,1,2,0,3237,3,5,8,3,0,2,0
42,4,1,3,0,275,3,5,8,2,0,2,0
22,1,2,1,0,0,3,5,8,2,0,2,0
40,4,1,2,0,207,3,5,8,1,0,2,0
39,1,1,1,0,483,3,5,8,1,0,2,0
51,7,1,1,0,2248,3,5,8,2,0,2,0
49,0,1,1,0,428,3,5,8,1,0,2,0
53,1,1,1,0,0,3,5,8,1,0,2,0
34,7,2,1,0,0,3,5,8,1,0,2,0
33,9,0,1,0,140,3,5,8,1,0,2,0
50,4,2,2,0,297,3,5,8,1,0,2,0
39,1,1,0,0,279,3,5,8,1,0,2,0
59,2,0,1,0,901,3,5,8,3,0,2,0
30,9,2,1,0,2573,3,5,8,2,0,2,0
36,7,1,1,0,143,3,5,8,1,0,2,0
40,1,1,1,0,475,3,5,8,2,0,2,0
53,1,1,1,0,70,3,5,8,2,0,2,0
34,4,2,2,0,318,3,5,8,2,0,2,0
37,9,1,1,0,275,3,5,8,1,0,2,0
42,4,0,2,0,742,3,5,8,3,0,2,0
41,2,1,0,0,236,3,5,8,1,0,2,0
30,8,2,2,0,25,3,5,8,2,0,2,0
37,4,2,2,0,600,3,5,8,1,0,2,0
39,0,0,1,0,-349,3,5,8,2,0,2,0
41,1,1,0,0,183,3,5,8,2,0,2,0
40,1,1,0,0,0,3,5,8,1,0,2,0
42,4,2,2,0,0,3,5,8,2,0,2,1
40,1,0,0,0,0,3,5,8,1,0,2,0
57,9,1,1,0,1078,3,5,8,4,0,2,0
56,2,0,1,0,155,3,5,8,3,0,2,0
37,0,1,1,0,190,3,5,8,2,0,2,0
59,5,1,1,0,319,3,5,8,3,0,2,0
39,7,0,1,0,-185,3,5,8,3,0,2,0
49,7,1,1,0,47,3,5,8,2,0,2,0
38,7,2,1,0,570,3,5,8,2,0,2,0
36,6,1,2,0,19,3,5,8,2,0,2,0
50,1,1,0,0,61,3,5,8,3,0,2,0
41,0,1,1,0,-62,3,5,8,2,0,2,0
54,9,1,2,0,258,3,5,8,4,0,2,0
58,1,1,0,0,76,3,5,8,2,0,2,0
30,1,2,1,0,0,3,5,8,2,0,2,0
33,0,2,1,0,352,3,5,8,2,0,2,0
47,0,1,1,0,368,3,5,8,2,0,2,0
50,9,2,2,0,339,3,5,8,3,0,2,0
32,1,1,1,0,1331,3,5,8,2,0,2,0
40,6,1,1,0,672,3,5,8,2,0,2,0
37,4,1,2,0,58,3,5,8,2,0,2,0
54,9,2,3,0,447,3,5,8,2,0,2,0
24,8,2,1,0,423,3,5,8,3,0,2,0
54,4,1,2,0,0,3,5,8,2,0,2,0
34,9,1,1,0,19,3,5,8,4,0,2,0
56,9,0,0,0,13,3,5,8,2,0,2,0
31,1,2,1,0,3,3,5,8,2,0,2,0
24,8,2,1,0,82,3,5,8,2,0,2,0
42,1,0,0,0,28,3,5,8,3,0,2,0
57,9,1,1,0,792,3,5,8,2,0,2,0
42,1,1,3,0,408,3,5,8,2,0,2,0
51,0,1,1,0,531,3,5,8,2,0,2,0
57,5,1,1,0,211,3,5,8,2,0,2,0
36,7,2,1,0,62,3,5,8,2,0,2,0
53,7,1,3,0,257,3,5,8,2,0,2,0
50,9,1,1,0,1234,3,5,8,2,0,2,0
54,4,1,2,0,313,3,5,8,2,0,2,0
55,1,1,1,0,89,3,5,8,3,0,2,0
44,1,1,1,0,129,3,5,8,2,0,2,0
43,4,1,3,0,0,3,5,8,2,0,2,0
56,0,1,1,0,353,3,5,8,2,0,2,0
54,9,1,3,0,851,3,5,8,2,0,2,0
55,7,0,0,0,96,3,5,8,2,0,2,0
37,7,0,1,0,398,3,5,8,2,0,2,0
33,0,2,2,0,193,3,5,8,2,0,2,0
46,0,1,1,0,-358,3,5,8,2,0,2,0
36,1,1,1,0,539,3,5,8,2,0,2,0
51,9,2,1,0,0,3,5,8,2,0,2,0
40,5,2,0,0,0,3,5,8,2,0,2,0
42,1,1,1,0,490,3,5,8,2,0,2,0
51,1,1,1,0,0,3,5,8,2,0,2,0
49,1,1,3,0,403,3,5,8,2,0,2,0
48,4,1,1,0,161,3,5,8,3,0,2,0
32,9,0,2,0,2558,3,5,8,2,0,2,0
31,0,2,1,0,98,3,5,8,2,0,2,0
55,4,2,2,0,115,3,5,8,4,0,2,0
40,1,2,1,0,436,3,5,8,3,0,2,0
47,9,1,2,0,831,3,5,8,3,0,2,0
57,9,1,3,0,206,3,5,8,3,0,2,0
41,1,1,1,0,290,3,5,8,2,0,2,0
48,1,1,1,0,1,3,5,8,3,0,2,0
42,1,1,3,0,57,3,5,8,2,0,2,0
30,1,2,1,0,-457,3,5,8,2,0,2,0
58,4,2,2,0,1387,3,5,8,5,0,2,0
45,4,0,2,0,24598,3,5,8,3,0,2,0
49,1,1,1,0,30,3,5,8,4,0,2,0
42,0,2,1,0,1022,3,5,8,2,0,2,0
53,9,1,1,0,56,3,5,8,2,0,2,0
51,0,2,1,1,-2,3,5,8,3,0,2,0
32,7,2,1,0,121,3,5,8,2,0,2,0
41,1,2,1,0,842,3,5,8,3,0,2,0
43,4,0,1,0,693,3,5,8,3,0,2,0
40,1,0,1,0,-333,3,5,8,2,0,2,0
50,1,1,0,0,1533,3,5,8,2,0,2,0
34,4,1,2,0,46,3,5,8,4,0,2,0
53,7,1,3,0,18,3,5,8,2,0,2,0
45,9,1,1,0,44,3,5,8,4,0,2,0
39,1,1,0,0,-100,3,5,8,2,0,2,0
44,7,1,2,0,510,3,5,8,4,0,2,0
55,4,1,2,0,685,3,5,8,3,0,2,0
46,4,2,2,0,187,3,5,8,2,0,2,0
45,1,1,1,0,66,3,5,8,2,0,2,0
34,0,1,1,0,560,3,5,8,3,0,2,0
36,1,1,1,0,0,3,5,8,2,0,2,0
59,11,0,3,0,27,3,5,8,3,0,2,0
31,0,2,1,0,12,3,5,8,2,0,2,0
44,1,2,1,0,34,3,5,8,4,0,2,0
33,2,2,2,0,1068,3,5,8,2,0,2,0
40,1,1,1,0,211,3,5,8,4,0,2,0
46,0,2,2,0,377,3,5,8,2,0,2,0
48,4,1,2,0,263,3,5,8,2,0,2,0
42,7,1,1,0,1263,3,6,8,2,0,2,0
27,7,1,1,0,8,3,6,8,3,0,2,0
48,0,1,1,0,126,3,6,8,2,0,2,0
59,0,1,1,0,230,3,6,8,3,0,2,0
46,9,1,2,0,841,3,6,8,1,0,2,0
38,0,0,1,0,308,3,6,8,1,0,2,0
43,4,0,2,0,1,3,6,8,1,0,2,0
38,0,0,2,0,86,3,6,8,1,0,2,0
23,8,2,1,0,157,3,6,8,1,0,2,0
34,7,1,1,0,22,3,6,8,1,0,2,0
38,0,1,1,0,46,3,6,8,1,0,2,0
37,1,1,1,0,1293,3,6,8,1,0,2,0
25,0,2,1,0,122,3,6,8,1,0,2,0
48,1,1,3,0,131,3,6,8,1,0,2,0
49,1,2,1,0,143,3,6,8,1,0,2,0
38,0,2,1,0,393,3,6,8,2,0,2,0
43,1,1,0,0,98,3,6,8,1,0,2,0
33,4,1,2,0,0,3,6,8,1,0,2,0
55,1,1,1,0,224,3,6,8,1,0,2,0
38,1,1,1,0,757,3,6,8,1,0,2,0
49,7,1,1,0,245,3,6,8,1,0,2,0
40,4,1,1,0,8486,3,6,8,3,0,2,0
43,0,1,3,0,350,3,6,8,1,0,2,0
38,1,1,1,0,20,3,6,8,1,0,2,0
58,7,1,1,0,1667,3,6,8,1,0,2,0
57,9,1,3,0,345,3,6,8,1,0,2,0
32,10,1,1,0,10,3,6,8,4,0,2,0
56,4,1,2,0,830,3,6,8,1,0,2,1
58,1,0,3,0,29,3,6,8,1,0,2,0
60,5,0,1,0,545,3,6,8,1,0,2,1
37,9,1,2,0,8730,3,6,8,1,0,2,0
46,9,0,2,0,477,3,6,8,1,0,2,0
27,0,1,1,0,4,3,6,8,1,0,2,0
43,1,1,1,0,1205,3,6,8,2,0,2,0
32,9,2,1,0,0,3,6,8,3,0,2,0
40,0,2,1,0,263,3,6,8,1,0,2,0
38,0,1,1,0,1,3,6,8,1,0,2,0
34,1,1,1,0,283,3,6,8,1,0,2,0
47,1,1,0,0,206,3,6,8,1,0,2,0
42,3,1,0,0,17,3,6,8,1,0,2,0
48,9,1,1,0,141,3,6,8,1,0,2,0
29,6,2,2,0,16,3,6,8,1,0,2,0
50,7,1,1,0,206,3,6,8,1,0,2,0
52,9,1,3,0,7,3,6,8,2,0,2,0
50,4,1,2,0,0,3,6,8,1,0,2,0
58,5,1,2,0,0,3,6,8,1,0,2,0
46,1,0,0,0,1927,3,6,8,3,0,2,0
38,9,1,1,0,284,3,6,8,1,0,2,0
46,1,1,1,0,1660,3,6,8,1,0,2,0
32,7,2,1,0,406,3,6,8,1,0,2,0
51,1,1,0,0,230,3,6,8,1,0,2,0
39,0,2,1,0,-25,3,6,8,1,0,2,0
48,0,1,1,0,182,3,6,8,2,0,2,0
36,2,1,2,0,1169,3,6,8,2,0,2,0
34,0,0,1,0,67,3,6,8,1,0,2,0
40,9,1,1,0,77,3,6,8,1,0,2,0
43,10,1,1,0,0,3,6,8,1,0,2,0
52,1,0,0,0,55,3,6,8,1,0,2,0
33,9,1,1,1,72,3,6,8,1,0,2,0
49,4,2,2,0,163,3,6,8,3,0,2,0
32,4,2,2,0,151,3,6,8,1,0,2,0
39,0,2,1,0,113,3,6,8,1,0,2,0
40,1,1,1,0,0,3,6,8,1,0,2,0
38,9,2,2,0,9,3,6,8,3,0,2,0
43,4,1,1,0,375,3,6,8,2,0,2,0
39,7,1,1,0,1142,3,6,8,1,0,2,0
54,1,1,0,0,2102,3,6,8,1,0,2,0
38,9,2,2,0,4325,3,6,8,1,0,2,0
40,1,1,1,0,217,3,6,8,1,0,2,0
55,0,1,1,0,131,3,6,8,1,0,2,0
42,4,1,2,0,1680,3,6,8,1,0,2,0
39,1,1,1,0,0,3,6,8,1,0,2,0
40,1,1,0,0,46,3,6,8,1,0,2,0
32,1,1,1,0,320,3,6,8,2,0,2,0
55,0,1,1,0,183,3,6,8,1,0,2,0
45,1,1,1,0,39,3,6,8,1,0,2,0
35,4,2,2,0,560,3,6,8,1,0,2,0
58,9,0,1,0,469,3,6,8,1,0,2,0
35,0,1,1,0,530,3,6,8,1,0,2,0
49,7,1,0,0,61,3,6,8,1,0,2,0
34,9,2,2,0,242,3,6,8,1,0,2,0
36,1,1,1,0,139,3,6,8,2,0,2,0
24,6,2,1,0,0,3,6,8,1,0,2,0
34,9,1,1,0,367,3,6,8,1,0,2,0
51,0,0,1,0,228,3,6,8,1,0,2,0
39,9,2,3,0,45248,3,6,8,1,0,2,1
50,6,1,3,0,-84,3,6,8,1,0,2,0
32,7,2,1,0,310,3,6,8,1,0,2,0
42,1,1,3,0,132,3,6,8,1,0,2,0
50,9,1,1,0,797,3,6,8,1,0,2,0
40,7,1,1,0,71,3,6,8,1,0,2,0
46,4,0,3,0,2,3,6,8,1,0,2,0
37,4,1,2,0,231,3,6,8,2,0,2,0
34,1,1,1,0,270,3,6,8,1,0,2,0
44,1,1,1,0,274,3,6,8,1,0,2,0
40,0,2,1,0,-109,3,6,8,1,0,2,0
37,9,1,1,0,1,3,6,8,1,0,2,1
33,1,2,1,1,-60,3,6,8,1,0,2,0
35,1,1,1,0,89,3,6,8,2,0,2,0
58,1,0,1,0,-11,3,6,8,1,0,2,0
39,1,1,0,0,0,3,6,8,2,0,2,0
43,1,1,1,0,-509,3,6,8,1,0,2,0
39,10,1,0,0,408,3,6,8,1,0,2,0
36,7,2,0,0,58,3,6,8,1,0,2,0
57,5,2,1,0,1640,3,6,8,4,0,2,0
36,0,2,1,0,20,3,6,8,1,0,2,0
50,1,1,0,0,71,3,6,8,1,0,2,0
55,1,1,1,0,52,3,6,8,1,0,2,0
44,6,1,2,0,292,3,6,8,1,0,2,0
44,7,0,1,0,424,3,6,8,1,0,2,0
39,3,2,0,0,109,3,6,8,3,0,2,0
46,1,1,3,0,1044,3,6,8,1,0,2,0
39,1,1,1,0,983,3,6,8,1,0,2,0
34,0,1,1,0,869,3,6,8,1,0,2,1
40,1,1,0,0,668,3,6,8,2,0,2,0
50,4,1,2,0,964,3,6,8,1,0,2,0
31,4,2,1,0,301,3,6,8,1,0,2,0
37,0,2,1,0,140,3,6,8,1,0,2,0
39,4,2,1,0,1877,3,6,8,1,0,2,0
51,1,1,0,0,1127,3,6,8,1,0,2,0
41,9,1,1,0,871,3,6,8,1,0,2,0
41,9,1,1,0,767,3,6,8,1,0,2,0
43,1,1,1,0,0,3,6,8,1,0,2,0
30,7,2,1,0,209,3,6,8,2,0,2,0
54,4,0,0,0,0,3,6,8,1,0,2,0
43,1,0,1,0,110,3,6,8,1,0,2,0
59,4,0,2,0,-76,3,6,8,1,0,2,0
47,9,1,3,0,178,3,6,8,1,0,2,0
40,1,1,0,0,-66,3,6,8,1,0,2,0
32,9,1,1,0,0,3,6,8,2,0,2,0
29,1,1,1,0,1,3,6,8,1,0,2,0
36,1,1,1,0,0,3,6,8,1,0,2,0
55,10,1,2,0,5345,3,6,8,1,0,2,0
30,1,0,1,0,-209,3,6,8,2,0,2,0
39,0,2,1,0,0,3,6,8,2,0,2,0
39,1,0,1,0,42,3,6,8,2,0,2,0
50,1,0,1,0,41,3,6,8,1,0,2,0
44,1,1,1,0,-99,3,6,8,2,0,2,0
37,9,2,1,0,17,3,6,8,1,0,2,0
46,0,1,0,0,276,3,6,8,2,0,2,0
32,9,2,3,0,-170,3,6,8,1,0,2,0
37,4,2,2,0,230,3,6,8,1,0,2,0
29,1,1,1,0,9,3,6,8,1,0,2,0
41,1,1,1,0,946,3,6,8,1,0,2,0
45,1,1,0,0,1297,3,6,8,2,0,2,0
57,5,0,1,0,-331,3,6,8,1,0,2,0
48,1,2,1,0,44,3,6,8,1,0,2,0
60,5,1,1,1,15,3,6,8,1,0,2,0
26,0,2,1,0,712,3,6,8,1,0,2,0
58,5,1,1,0,5435,3,6,8,1,0,2,0
34,0,1,1,0,507,3,6,8,1,0,2,0
55,10,0,1,0,387,3,6,8,1,0,2,1
41,1,1,0,0,0,3,6,8,1,0,2,0
50,4,0,1,0,1716,3,6,8,1,0,2,0
49,2,1,1,0,167,3,6,8,3,0,2,0
44,0,1,3,0,40,3,6,8,2,0,2,0
44,1,1,0,0,148,3,6,8,1,0,2,0
31,9,1,1,0,17,3,6,8,1,0,2,0
34,1,2,2,0,1011,3,6,8,1,0,2,0
46,4,2,3,0,1527,3,6,8,1,0,2,0
42,4,1,2,0,744,3,6,8,1,0,2,0
52,0,1,1,0,484,3,6,8,1,0,2,0
29,4,2,2,0,0,3,6,8,1,0,2,0
53,5,1,0,0,136,3,6,8,2,0,2,0
43,1,1,1,0,1335,3,6,8,2,0,2,0
38,4,1,1,0,517,3,6,8,2,0,2,0
46,4,1,2,0,459,3,6,8,1,0,2,0
48,4,0,3,0,549,3,6,8,1,0,2,0
